,2006,2007,2008,2009,2011,2012,2013,2014,2015,2016
percent women,0.25,0.21,0.26,0.22,0.24,0.22,0.20,0.34,0.30,0.26
number of women,31,33,56,41,40,35,32,93,59,47
total attendees,126,160,217,189,169,156,158,275,198,178
percent poster,25.00%,NA,NA,NA,NA,26.32%,21.25%,NA,NA,31.58%
women posters,9,NA,NA,NA,NA,20,17,NA,NA,6
percent panel,5.26%,NA,NA,NA,NA,7.41%,6.45%,NA,NA,16.67%
women panel,1,NA,NA,NA,NA,2,2,NA,NA,3
percent professor,17.39%,15.56%,24.00%,7.89%,16.67%,9.68%,5.88%,14.63%,8.57%,22.22%
women professors,8,7,12,3,6,3,2,6,3,8
percent assistant,37.50%,28.89%,28.57%,31.11%,22.50%,15.63%,26.47%,25.45%,18.60%,32.50%
women assistant,12,13,16,14,9,5,9,14,8,13
percent student,23.68%,22.41%,24.75%,26.14%,28.17%,30.88%,24.36%,42.59%,39.81%,33.33%
women student,9,13,25,23,20,21,19,69,41,23
